Gene,Genotype(s),Therapeutic Area(s),Drug(s)
TPMT,*30/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*31/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*32/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*33/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*34/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*35/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*36/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*37/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*38/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*39/*3C,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*3C/*40,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*3C/*41,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*5,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*6,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*7,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*8,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*4/*9,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*10/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*11/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
TPMT,*12/*4,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,"mercaptopurine, thioguanine, azathioprine"
